# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	363	154	381	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT & LEFT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

################# HOLD_SHELL_BIG###############

#IDLE 2 (SPRITE)
14000	334	233	350	260	0
14001	94	233	111	260	0

#RUNNING RIGHT 2
14002	276	313	292	341	0
14003	300	313	323	341	0

#RUNNING LEFT 2
14004	153	313	171	341	0
14005	123	313	143	341	0

#KICK RIGHT & LEFT 2
14006	422	272	444	300	0
14007	2	272	23	300	0

# BIG MARIO WITH TAIL SPRITES
# IDLE RIGHT & LEFT
16100	243	634	264	661	0   # Big Mario Tail - Idle Right
16101	180	634	204	661	0   # Big Mario Tail - Idle Left

# WALKING RIGHT
16200	271	634	295	661	0   # Big Mario Tail - Walking Right Frame 1
16201	302	634	325	661	0   # Big Mario Tail - Walking Right Frame 2

# WALKING LEFT
16210	151	634	174	661	0   # Big Mario Tail - Walking Left Frame 1
16211	121	634	144	661	0   # Big Mario Tail - Walking Left Frame 2

# RUNNING RIGHT
16300	330	634	355	661	0	# Big Mario Tail - Running Right Frame 1
16301	361	634	386	661	0	# Big Mario Tail - Running Right Frame 2
16302	391	634	415	661	0	# Big Mario Tail - Running Right Frame 3

# RUNNING LEFT
